Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Unnamed: 0,Title,Release Date,Team,Rating,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,weighted_rating,Backlog_Wishlist_Ratio,Release_Year
1484,middle-earth: shadow of mordor,Xone,2014.0,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32,267,middle-earth: shadow of mordor,2014-09-30,"Monolith Productions , WB Games",3.4,524.0,"Adventure , Brawler , Rpg","Middle-earth: Shadow of Mordor is a open world third-person action role-playing video game developed by Monolith Productions and published by Warner Bros. Interactive Entertainment, which takes place in the world of J.R.R. Tolkien's Legendarium.
             

              The game takes place in the 60-year gap between the events of Tolkien's The Hobbit and The Lord of The Rings. It is a story of revenge, slaughter, and mystery set entirely in Mordor, the Land of Shadows. At its center is Talion, an ordinary man who loses everything, including his mortal life.
             

              The game is set in a fully open world, and features various role-playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within Mordor.
             

              The melee system is inspired by that of the Batman Arkham series. Getting into a good fighting rhythm, using both regular attacks and counter-attacks will improve the player's combo multiplier.
             

              A unique feature of Middle-earth: Shadow of Mordor is the Nemesis system. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter.","it has combat from arkham and assassins creed, climbing from uncharted, stealth from every 7th gen third person game, you spend half of the time clearing out bandit camps, and you play the most ai generated character in all of gaming. im sure we all remember that iconic lord of the rings characters name. this is a game so derivative of every other game around it that it lacks any identity and purpose to exist. monolith is an underrated company. fear was an underrated franchise in general, although the 3rd kind of fell flat. luckily they managed to claim some of the respect they were due with this game. a jogabilidade é muito boa o jogo tem um sistema de combate bem dinâmico, com muitos movimentos e habilidades que você pode aprender ao longo do jogo. além disso, o jogo tem o sistema nêmesis, onde os inimigos que você enfrenta vão se lembrar de você e evoluir de acordo com suas ações e para mim é o ponto alto do jogo. honestly not even that good of a game but i had a blast with the nemesis system and i enjoyed doing mindless treasure huntingrepetitive missions just because i liked making uruks feel as much pain as possible. would recommend to family and friends. its assassins creed in middle earth. whats not to love the nemesis system is still, to this day, one of the coolest things ive ever seen in a video game and its a shame that wb has done nothing with it since. disclaimer these are my brief thoughts based on my memory of playing this 8 years ago manswine",8400.0,106.0,1700.0,478.0,3.516752815299235,3.5564853556485354,2014
1487,dark souls ii,Ps3,2014.0,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32,224,dark souls ii,2014-03-11,"FromSoftware , Bandai Namco Entertainment",3.3,815.0,"Adventure , Rpg","The unique old-school action rpg experience captivated imaginations of gamers worldwide with incredible challenge and intense emotional reward.
              
              Dark Souls II brings the franchise’s renowned difficulty & gripping gameplay innovations to both single and multiplayer experiences.
             

              Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses that could only come from the imagination of from software. A wide range of threats will prey on human senses & phobias - auditory hallucinations, vertigo, acrophobia, etc.","structural issues and awkward world design mixed with solid gameplay. i also dont remember a single boss. la canción de majula es todo. the game probably has one of the best set of characters in the series lucatiel, creighton and pate are genuinely amazing but i hafta be real with ya everything else ranges from really great to dear god what is this the conversations around this game have revolved into a twisted form of mockery. thats literally the worst dark souls, but at the same time my favorite one. this is by far the hardest souls game for me fume knight killed me far too many times, the story and atmosphere is similar to that of 1 good.",6700.0,128.0,1400.0,834.0,3.425178612878873,1.6786570743405276,2014
1489,kingdom hearts ii,Ps3,2014.0,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32,962,kingdom hearts ii,2005-12-22,"Buena Vista Games , Square Enix",4.3,1200.0,"Adventure , Rpg","Kingdom Hearts II is an action role-playing game, and the primary entry to the series since the 2002 Disney Interactive and Square collaboration. The game's setting is a collection of various levels (referred to in-game as ""worlds"") that the player progresses through. As in the first game, it II allows the player to travel to locales from various Disney works, along with original worlds specifically created for the series.","kingdom heart 2 is a really fun and enjoyable game that improves on a lot of the games short comings, however some issues that is game has conflicts the experience. no joke, i love the 3 hour prologue. i played it so many times as a kid i have this reoccurring bad luck with jrpgs where some shit happens that ends up preventing me form finishing it. for this one, i was a little lad in love with the game when my ps2 died so now i just gotta play through it again and finish it some time. mid square literally cannot top kh2 no matter how hard they try. sora feels so much more connected to the characters this time, with epilogues for each of the disney worlds after the intitial visits. even the final fantasy characters feel like complete characters, exemplified in their arcs in the middle act. the gameplay is unmatched, with quick reaction commands with different movesets are so fun to use here. kh2 sets out to answer all your burning questions while introducing a new cast full of painful memories. each of the games main acts are so cinematic and climatic, the final boss is incredible and you feel final. this game couldve been the end of the series, and it wouldve been satisfying... until the end cutscene rolled. while a bunch of interesting ideas are introduced, few are well explored. the plot is fine, but is held back by some pretty bizarre writing decisions. the gameplay is this games saving grace, although the level design could stand to take better advantage of soras new found mobility.",9600.0,137.0,1600.0,652.0,4.124939386901737,2.4539877300613497,2005
1490,the lego movie videogame,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32,1511,the lego movie videogame,2014-02-04,"WB Games , TT Fusion",2.8,184.0,"Adventure , Puzzle","Join Emmet and an unlikely group of resistance fighters in their heroic quest to thwart Lord Business' evil plans - a mission that Emmet is hopelessly and hilariously unprepared for. It's a wild ride with a surprising mix of over 90 playable characters including Batman, Superman, Wonder Woman, the Green Ninja, Gandalf, Shakespeare, Cleopatra and more.","legal pretty average lego game but it was my childhood pog lego game pretty decent lego game loved the attention to detail all around 4,55 class tt games got crunch time for this.",1700.0,11.0,239.0,73.0,3.4045241759369183,3.2739726027397262,2014
1504,tekken 6,X360,2009.0,Fighting,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31,1392,tekken 6,2007-11-26,Bandai Namco Entertainment,3.4,235.0,Fighting,"Tekken 6 is a fighting game developed and published by Bandai Namco Games. It is the seventh main installment in the Tekken franchise. It was released in Japanese arcades on November 26, 2007 as the first game running on the PlayStation 3-based System 357 arcade board. The game received an update, subtitled Bloodline Rebellion, a year later.","i hate videogames kiiiiiiiiino the instalment that made me truly fall in love with the series. partly what makes it great are all the memories ive had playing this with my family and simblings and part of that comes from the incredibly wast amount of high quality content this masterpiece of a game provided. 8vs8, force mode, arcade, there was just always something to do in this game and it just never got borning, and with what a beatiful songs playing in the background 55 i mean its alright. tekken 7 is waaaaaaaayyyyy better. my first tekken game, the story mode was so weird the last good tekken soundtrack imo. tag 2 was lackluster and tekken 7s soundtrack isnt very good. the story isnt very good here but lets be honest here the story in tekken took a dip after 4. im not playing this game for the story tho. buen juego",2300.0,15.0,173.0,96.0,3.5662998984438454,1.8020833333333333,2007
1517,crysis 2,Ps3,2011.0,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3,1334,crysis 2,2011-03-22,"Crytek Frankfurt , Electronic Arts",3.1,180.0,"Adventure , Shooter","Sequel to one of the greatest PC shooters ever, Crysis 2 offers console players their first taste of Crytek's unique shooter gameplay. Featuring futuristic war, gorgeous destruction and the chance to kick alien butt on the grandest stage of all, New York City, Crysis 2 is destined at the least to equal its predecessor, if not surpass it. Additional features include: challenging AI enemies in the single player campaign, 12-player support online, new and improved upgradable Nanosuit 2 technology and more.","crysis 2 is a much more digestible game than the original crysis, but mostly replaces the interesting ideas from the first with toned down versions that map more easily to the actions of a generic shooter, trading ambition for playability. mostly, this ends up combining with the storytelling that even a midtier action movie wouldnt touch to make a forgettable game oynanışı olarak en çok sevdiğim crysis oyunu atmosferini çoğu kişi sevmez ama ben sevdim hikaye diye bir şey yok o yüzden yorumda yok düşmanlar çeşitli olabilirdi, ilk oyunda olmayan vuruş hissi seriye girmiş, ara sahneleri crysis klasiği gayet iyi dublajlı oyun oynamak güzel bir şey keşke az kafa yorup şu evreni değerlendirselerdi. i dont know what possessed the people creating this game to make the player fight mostly aliens. the aliens are not the fun part of this game the gun play is fun, if aged a bit, and i have a more positive experience than negative one when playing this game. but the enemies being aliens primarily is not fun for me. always 5 star for crysis games. i have always read from discussions and reviews of this game how badly the consoleization of the gameplay detracted from it but had never experienced the game myself. turns out, people were correct for criticizing this game at the time. i cant imagine what the super fans of the first game felt when they finally got their hands on this. crysis 2 is set a couple of years after the first game ends and continues with the big question whats up with all these alien guys. turns out they are all over the world im going to be honest, i wanted to comment on the story more, but i can barely remember anything as i was so bored by the end. holds up better than i expected my first time going through, and after just beating crysis 1 i can see why people prefer this one much more. i was a bit sad that they took away maximum speed though, even if the smaller levels do warrant it.",2900.0,10.0,411.0,155.0,3.4946489310547264,2.6516129032258067,2011
1519,saints row iv,Ps3,2013.0,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3,1105,saints row iv,2013-08-19,"Volition , Deep Silver",3.1,386.0,"Adventure , Shooter","Unlike the first three games in the franchise, Saints Row 4 does not center around the main character defeating three rival gangs in order to take over a city. The Saints have now become a household name, and their leader has become the president of the Unites States. The antagonists in Saints Row 4 are an invading alien race known as the Zin. Most of the game takes place within a computer simulation of the city of Steelport controlled by the Zin, where the protagonist is attempting to free himself and his companions.","infamous at home finally got back to finish this, its stupid, but mindless fun putaria, literalmente putaria this game relies a lot on pop culture references for its humor in a way that got tiring for me pretty quickly. also, i played this right after playing sr3 and the lack of gameplay changes did not win it any points with me. never actually gonna finish saints row 4 i just like murdering mfs in hot dog suits with telekinesis iets te wild",7200.0,64.0,775.0,176.0,3.39693537360608,4.403409090909091,2013
1543,metal gear solid v: ground zeroes,Ps4,2014.0,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28,203,metal gear solid v: ground zeroes,2014-03-18,"Konami , Kojima Productions",3.3,650.0,"Adventure , Rpg , Shooter , Strategy","Metal Gear Solid V: Ground Zeroes is a prologue to Metal Gear Solid V: The Phantom Pain. It offers players new sneaking and traversal methods compared to its predecessors, as well as the choice in what order the story events take place by selecting missions by advance. The most important change for this title is the shift to an open world design with a real-time day and night cycle doing away with the linear mission approach of previous games. The game was originally developed as a mission for The Phantom Pain, but an extended development time resulted in director Hideo Kojima splitting the specific portion of the game as a stand-alone product so that players could get early access to Metal Gear Solid V.","bana oyun diye demo satmışsın lan i am still salty that this was sold as a separate game and wasnt just the opening mission to phantom pain. the most fun part of this game is learning all the paths through the relatively small map and using those new routes to get s ranks in all the missions. weirdly a more consistent video game than the phantom pain this game unfortunately didnt live up to my expectations still good none the less. hm. it do be a tech demo, lets make sure we get that out of the way first. games like one mission long, which im honestly fine with and the level is pretty cool all things considered. this game tries to go for a much darker sort of vibe than what usually goes on in metal gear, and theres some kinda gross scenes that are made grosser by the shiny photorealistic new fox engine they got going here. doesnt exactly end on a very positive note either, but i guess thats to set up the phantom pain. all in all, dont buy this on its own since theres not enough game here to be worth any price on its own, but if you wanna play phantom pain, you should probably play this first to understand whats goin on",9500.0,53.0,1700.0,549.0,3.444023933248411,3.096539162112933,2014
1545,assassin's creed syndicate,Xone,2015.0,Action,Ubisoft,0.61,0.56,0.0,0.11,1.28,621,assassin's creed syndicate,2015-10-23,"Ubisoft Entertainment , Ubisoft Québec",3.0,562.0,Adventure,"London, 1868. The Industrial Revolution unleashes an incredible age of invention, transforming the lives of millions with technologies once thought impossible. Opportunities created during this period have people rushing to London to engage in this new world, a world no longer controlled by kings, emperors, politicians, or religion, but by a new common denominator: money.
             

              Not everyone is able to enjoy the benefits of this boom, however. Despite fueling the engine of the British Empire, workers’ lives are little more than legalized slavery while the top few percent profit from their labor. Living poor and dying young, the lower class unite in protest as a new kind of family, gangs, who turn to a life in the underworld in their struggle to survive. A struggle, until watchful Assassins come to their side and re-ignite an age-old conflict involving London’s leaders that will echo throughout modern history, from the underground up.
             

              Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin’s Creed Syndicate. Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action, intrigue, and brutal combat.","industrial london is great, an underrated gem, first assasins creed game i picked up too. had to play this until watch dogs legion eventually was released for a modern take on london in gaming. loses points for repetitiveness, jacob and evie are awesome sinceramente, depois de ac unity eu pensei que conseguiriam fazer um bom trabalho com esse jogo, mas ele consegue ser pior em quase tudo, coisa que não faz nem sentido, a história parece ser feita só como justificativa pra você ficar repetindo as mesmas coisas no mapa, e ainda te obrigam a realizar as mesmas 4 atividades pra ficar liberando missão da história. ia é uma das piores que já vi, os inimigos simplesmente ignoram cadáveres, os npcs não tem reação alguma quando você da um tiro e mata 20 pessoas no meio de uma festa e ainda tem memória de peixe. os bugs nem se fala, tem bem menos que ac unity, mas ainda assim estão muito presentes, é vergonhoso. a única coisa que elogio são os gráficos e a dublagem, impecáveis, de resto é melhor passar longe desse jogo. i remember liking this at the time, but ive grown as a person since then. comparado con los nuevos esta bastante bien comparado con los antiguos bastane regulero basicamente o unity se tivesse protagonistas minimamente interessantes e um combate corpo a corpo bom",5600.0,97.0,1500.0,417.0,3.289335546468511,3.597122302158273,2015
1550,kid icarus: uprising,3Ds,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,986,kid icarus: uprising,2012-03-22,"Nintendo , Project Sora",4.1,860.0,"Brawler , Shooter","One of the most beloved franchises in Nintendos long history makes its glorious return in spectacular 3D! Pit of Kid Icarus fame is back in a new game designed specifically for the Nintendo 3DS system, by Masahiro Sakurai, creator of the Kirby and Super Smash Bros. franchises, and his development team at Project Sora.
             

              Kid Icarus: Uprising is a fast-paced and action-packed blend of aerial and ground-based shooting built on elegantly intuitive and streamlined play control. This follow-up to the original Kid Icarus released for the Nintendo Entertainment System in 1987 has been at the top of gamers wish lists for years.
             

              Boasting gameplay that is easy to pick up but incredibly deep, the game is sure to satisfy novice gamers as well as fans who have been clamouring for a new installment in the franchise.
             

              The hero, Pit, teams up with Palutena, the goddess of light, who bestows on him the miracle of flight for limited stretches. With this gift, Pit soars through the skies, shooting down swarms of enemies, then alights and engages in frantic ground-based battles against Medusas underworld army.
             

              Find and collect numerous weapons and items that offer bonuses and ability boosts. Players can choose weapons before they send Pit into battle, giving them countless layers of strategies in each level.
             

              Players can choose between a basic Blade, basic Claws and a basic Orbitar weapon. Blades are well-balanced, Claws have limited reach but increase running speed and the Orbitars can shoot two shots that grow in power over distance.","another thing where if it got a remaster could be one of the very best. the controls hold it back at a fundamental level, and with the strives in accessibility in gaming made since its release im all but certain that would be alleviated in any kind of port. still an incredible game if youre able to play it, but there shouldnt be a barrier like that in the first place in an unexpected sequel, kid icarus finds new light in an amazingly lighthearted world. with incredible comedy that uses the medium to its advantage, characters will interact and bounce off of each other while still maintaining the overall plot. theres a really cool fakeout halfway through the game, for example. while struggling gameplaywise due to wanting to do so much on a 3ds, it still feels right at home. surprisingly good and kinda unique to be honest. the story has no right to have all these good plot twists and genuinely really funny dialogue. the carpal tunnel has left my wrists as nothing but nubs but it was worth it excelente historia y jugabilidad ojala salga una secuela",5400.0,140.0,1700.0,924.0,3.947664801562219,1.8398268398268398,2012
1551,silent hill 2,Ps2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,50,silent hill 2,2001-09-24,"Team Silent , Konami",4.5,2200.0,"Adventure , Puzzle","The second entry in the Silent Hill franchise, Silent Hill 2 is a narrative-focused third-person psychological horror game with exploration and puzzle-solving elements which follows James Sunderland, a man who receives a letter, seemingly sent by his three-years-deceased wife Mary, in which he is beckoned to the fog-ridden town of Silent Hill at the same time as numerous other people troubled by their past.","you know a game is that good when even the tank controls dont suck, a masterpiece in nearly every way imaginable. fuck tha puzzles man peak atmosphere let down heavily by gameplay thats way too easy and lets down the incredible tension built by the writing, environments and sound design  if bloober were competent theyd just copy and paste the entire game and increase enemy movement speed and reduce ammo by 20 or something like that if i hadnt learned the plot twist, i would have given a 5. unmatched survival horror experience. amazing plot twist, tense atmosphere, godly soundtrack and characters that you care about. the best game ever made, that other games will forever try to live up to and fail.",8600.0,282.0,2900.0,2100.0,4.3573885982011555,1.380952380952381,2001
1553,castlevania: symphony of the night,Ps,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,73,castlevania: symphony of the night,1997-03-20,"Konami , Konami Computer Entertainment Tokyo",4.4,1900.0,"Adventure , Platform , Rpg","A seminal 2D metroidvania in which after the events of Castlevania: Rondo of Blood (1993), a man named Alucard arrives at Dracula's castle after it rises from the rubble, and seeks to defeat the evil contained within it once and for all by exploring, fighting its inhabitants and collecting the various weapons and abilities hidden in its depths.","doidera pra caralho. tudo nesse jogo é bom. a industria dos videogames peakaram quando aquele castelo aparece do de cabeça para baixo. os unicos defeitos são desse jogo é a sua idade pois mecanicas e designs desse jogo são um pouco outdated, mas isso é detalhe e o jogo continua sendo 1010 muito se diz sobre coisas feitas com amor e carinho, mas poucas coisas merecem tanto esse elogio quanto symphony of the night sempre tive um carinho imenso por este título, symphony of the night é simplesmente o primeiro jogo que eu tive contato na minha vida e, consequentemente, a obra que me introduziu a esta mídia que não só é minha favorita dentre outras que eu também gosto muito como filmes, música, mangás..etc mas que acabou se tornando uma das minhas maiores paixões no geral. the birth of metroidvania, excellent game and cool features. no more words, just play that game bro. 9,9 notes ending acquired good ending  played only as alucard  around 185 completion atmosphere, visuals and the osts in this game are awesome and helps the immersion stay consistent throughout the game the gameplay is very good for people who wanna start this genre i recommend this game fully.",9100.0,316.0,3400.0,1700.0,4.258162928746913,2.0,1997
1575,final fantasy iv,Ds,2007.0,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26,1192,final fantasy iv,1991-07-19,"Square Enix , Square",3.7,530.0,Rpg,"FINAL FANTASY IV is the fourth main installment in the FINAL FANTASY series, developed and published by Squaresoft. It was released in July 1991 for the Super Nintendo Entertainment System in Japan, and released as FINAL FANTASY II in North America in October 1991 with alterations made due to Nintendo of America's guidelines at the time.
             

              The game saw a rerelease in Japan on the WonderSwan Color and a global release on PlayStation under its original name as part of the FINAL FANTASY CHRONICLES and FINAL FANTASY ANTHOLOGY collections.","lemme preface this by saying that i love the concept of the final fantasy for however broad and all encompassing that continues to become. its probably my favorite sort of rpg story. i love the character dynamics, the melodrama, the high concept fantasy with weird scifimetaphysical themes thrown in. i am by inlarge, the demographic this game is meant for, so it confounds me when i cant quite pick up on the greatness that other people see in this one. simply magical. the first great final fantasy game, and the beginning of a dynasty of squares rpg dominance that would stretch from ff4 in 1991 right through to ff12 in 2006. super campy and contrived story where noone actually dies despite acting like it, but that somehow works to its advantage, while also having some super interesting enemy encounters this game is what created my taste the moment final fantasy graduated from i could probably make this into a dd campaign to having gameplay systems work with a constructed narrativetone",2700.0,60.0,964.0,379.0,3.678944908647806,2.5435356200527703,1991
1586,star wars: the force unleashed,Ps2,2008.0,Action,Lucasarts,0.49,0.0,0.01,0.75,1.25,595,star wars: the force unleashed,2008-09-16,"THQ Wireless , Aspyr Media",3.2,417.0,"Adventure , Brawler , Rpg","Star Wars: The Force Unleashed is a Star Wars video game that takes place between the films Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope. It is the centerpiece of the Star Wars: The Force Unleashed multimedia project,
             

              Star Wars: The Force Unleashed completely re-imagines the scope and scale of the Force and casts players as Darth Vader’s ""Secret Apprentice,"" unveiling new revelations about the Star Wars galaxy seen through the eyes of a mysterious new character armed with unprecedented powers.
             

              The game showcases Digital Molecular Matter (DMM), an extremely detailed and realistic material physics engine developed by Pixelux, and Euphoria, a realistic bio-mechanical A.I. engine by NaturalMotion","okay really makes you feel like a jedi this really is one of the better star wars games. ladies and gentlemen, we have yet another action adventure game made by disney in 2000s and as you would expect it, it sucks ass. i loved the game as a young kid. it delivers as a solid star wars game. while i cant vouch for it for people who dont already like star wars, its definitely worth playing for fans of the franchise who are interested in experiencing a rather unique star wars story. decent action game that loses its charm fast if youre not a star wars fan. combat is ok  bossfights are fine, but everything else just feels bland  empty. the levels are big  can go on for ages, with very little life outside of enemy encounters.",7400.0,50.0,823.0,350.0,3.4345889117500095,2.3514285714285714,2008
1592,injustice: gods among us,Ps3,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25,590,injustice: gods among us,2013-04-16,"NetherRealm Studios , WB Games",3.0,364.0,"Adventure , Fighting","What if our greatest heroes became our greatest threat? Injustice: Gods Among Us introduces a bold new franchise to the fighting game genre from NetherRealm Studios, creators of the definitive fighting game Mortal Kombat. Featuring DC Comics icons such Batman, Cyborg, The Flash, Harley Quinn, Nightwing, Solomon Grundy, Superman and Wonder Woman, the latest title from the award-winning studio presents a deep original story. Heroes and villains will engage in epic battles on a massive scale in a world where the line between good and evil has been blurred.","nostalgic yeah, im about to dump a nerdy dc fanboy rant... insane i just have to say, how awesome s the story, and how excellent was the experience of playing that, the blood...the blood...the blood, the bonesok, im acting like a child now the gameplay s fluid, and confortable, regardeless the dc characters that makes the whole thing a must buy. 9,4 muito divertido, adorei rating 810  great zerei numa tarde deve ser 3 a 5hrs pra zerar, bom demais, combos fodas e história pika mas o gráficos são bem feinhos.",7100.0,17.0,502.0,112.0,3.3600620133830352,4.482142857142857,2013
1594,black,Ps2,2006.0,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,1420,black,2006-02-24,"Electronic Arts , Criterion Games",3.4,233.0,Shooter,"Black takes place in Chechnya (Southern Russia). The protagonist is a black ops soldier named Sergeant First Class Jack Kellar (portrayed by Marty Papazian). Kellar tells most of the story in first-person at an interrogation four days after the events in the story begin.
             

              Kellar is an inadequately disciplined member of a CIA black ops group and a veteran of several conflicts including Guatemala, Colombia, Iran and Croatia. The unknown interrogator (portrayed by Paul Pape) questions Kellar about an arms smuggling and terrorist operation called the Seventh Wave. Seventh Wave have been responsible for a number of terrorist attacks. Kellar is told that, unless he co-operates, he and his actions will be declassified, he will be dishonorably discharged and imprisoned for life. Though initially resistant, Kellar at last agrees to tell his story.","rating 7.510  pretty good always thought this deserved more acclaim melhor jogo de tiro de todos os tempos, dificil e frenético i really intend to go back to it to zero. a very good game and remembers the time when ea made good games. fuck this game. people like this tedious shit this came out in 2006 goddamn. ive played some trash but not much as tedious and uninteresting as this. fun destruction, but thats literally the only thing thats notable. really conflicted about this one. on one hand the graphics are impressive for the time and still hold up despite the browngray fps aesthetic being ran so far into the ground it went through the other side of the planet. the sound design is amazing and if you want to use gun sounds you should take inspiration from this game.",2100.0,19.0,359.0,196.0,3.5667897361417653,1.8316326530612246,2006
1597,tom clancy's splinter cell: pandora tomorrow,Ps2,2004.0,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25,1481,tom clancy's splinter cell: pandora tomorrow,2004-03-23,"Ubisoft Shanghai , Ubisoft Entertainment",3.4,137.0,"Shooter , Tactical","Pandora Tomorrow takes place in Indonesia during the spring of 2006, in which the United States has established a military presence in the newly independent country of East Timor to train that country's military forces in their fight against anti-separatist Indonesian guerrilla militias. Foremost among these Indonesian militias is the Darah Dan Doa (Blood and Prayer), led by Suhadi Sadono.","this game has some of the most inspired level ideas in the entire seriesthe train, jerusalem, laxbut the whole thing is riddled with little issues that bring the whole experience down. granted, some of that is on the pc port i was playing with the shadows fix, dont worry but some of it isnt. hairtrigger guard ai, occasionally illogical level design, and a halfbaked story make the whole thing feel significantly less polished than the original. the story is truly bizarre and the game just kind of ends all of a sudden. i still dont know why it opened with a closeup shot of someone in handcuffs, and the ending made me laugh out loud. pandora tomorrow...honestly, what a nothing game. even after finishing it, the events of the plot and the levels themselves escape me. its like it all went in one ear and out the other, except this isnt some lecture from my high school algebra class. messy collection of thoughts mediocre una buena apuesta en lo referente a los juegos de espionaje y sigilo. pandora tomorrow llega a la game cube de nintendo con las mejores gráficas en lo referente a sus múltiples ports entre consolas y con nuevas misiones que solo se pueden encontrar en el pequeño disco del cubo nipón. es un juego que hace honor a la paciencia y la táctica, implementando mecánicas que no les serán de mucho agrado a los jugadores acostumbrados a disparar en todo momento. un título muy bien concebido, con un diseño de niveles bastante sorprendente y una historia que logra convencernos. recomendado para todos, solo es cuestión de probarlo para darse cuenta de su calidad. this game might be better than the original.",1000.0,7.0,317.0,123.0,3.5942542553006147,2.5772357723577235,2004
1607,the witcher 3: wild hunt,Xone,2015.0,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24,51,the witcher 3: wild hunt,2015-05-19,"WB Games , CD Projekt RED",4.3,2000.0,"Adventure , Rpg","RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.","one of my favorite games of all time. incredible open world with some of the best side quest stories in any video game. the game is full of compelling characters that make the world feel alive and interesting. its the antithesis of ubisoft open world games  its a world you are compelled to explore and learn more about, not a world where youre just ticking boxes. sometimes the open world is arguably too much. its a daunting game and difficult to recommend unless you have the time to fully engross yourself in it. the only complaints i ever had was that the combat is a bit clumsy but you get used to it. as a fan of the books, i loved experiencing a real continuation of many of the stories told in the books. also, gwent rules. disclaimer these are my brief thoughts based on my memory of playing this 7 years ago winds howling great writing and worldbuilding unfortunately the gameplay gets stale quickly. the combat is floaty and controlling geralt feels delayedunresponsive. everytime i beat this game i feel bitter sweet and empty after because the writing and characters are so good that you forget your time with them is limited. é o meu jogo favorito da vida, tenho um puta apego emocional, mas tem vários defeitos, tipo o controle do carpeado, e pelo fator replay que, ao fazer as mesmas missoes pelo menos tres vezes, ja chega a ser enjoativo. masterpiece",17000.0,1200.0,6100.0,1600.0,4.18219551547026,3.8125,2015
1623,spongebob squarepants: battle for bikini bottom,Gba,2003.0,Platform,Thq,0.88,0.33,0.0,0.02,1.23,1223,spongebob squarepants: battle for bikini bottom,2003-10-31,"Heavy Iron Studios , THQ",3.8,326.0,"Adventure , Platform","Bikini Bottom is under attack by robots! Help Spongebob, Patrick, and Sandy save Bikini Bottom from evil robots! The Duplicatotron 3000 is creating an army of robots running amock the city, beach, fields, and everywhere else! With many different worlds to explore and sights to see, this adventure is like none other! References and plenty areas from the show are made to be explored around. The further you delve into the world, the more you learn about the origin of these robots. Are YOU brave enough to save Bikini Bottom?","i absolutely loved this game when i was younger, but anyone rating it higher than like 3.5 stars maximum just doesnt remember they were seven when they played this. surprising variety of enemy types, but the bosses are all a little too easy. genuinely solid cult classic 3d platformer collectathon type deal set in the spongebob world. i didnt play this one growing up, but i did play the spongebob movie game back then which was essentially the sequel to this game so i knew what i was signing up for going in. honestly i think i like this game a little bit more than the movie game, and wish i had played it growing up since this game explores a lot more of the locales in the spongebob universe than its sequel does. also there are more playable characters. this game got remade, but i have heard that the remake was rather mid so idk maybe play the original instead its okay if you never watched the show, this game is just a really good collectathon. well spongebob squarepants, that truly was a battle for bikini bottom i feel a immense amount of nostalgia for this game, not back then since i was still a fucking sperm cell at the time but back in 2020, we obviously had covid fucking everything up, so we had to stay at home for a few months, i modded my wii just in time so i could finally touch some games that i had on my backlog for while, mostly gamecube games and this was one of the premier games i played, everytime i would finish some work id play hours upon hours of this game, evene beating the final boss and 100 the game, so revisiting this game keep in mind this sorta bias. feel like you either grew up playing this game and love it, or you didnt and dont care that much",3400.0,22.0,370.0,216.0,3.7156091073060344,1.712962962962963,2003
